,sentences
63259,blind hear bomb
63260,oh uh mind try fly ceiling
63261,burn witch burn witch burn witch
63262,fast citizen bind rule law
63263,seventeenth century law
63264,reconstruct ultimate instrument colonial justice dunk stool allege witch survive dunking clearly witch drown clearly innocent
63265,feature fifth grade play crucible
63266,good seat available mean seat fall asleep
63267,father attend moonshine competition saturday
63268,say parenting class
63269,marge embarrass mob
63270,hear sirens think police come arrest ditch still moonshiner push hill moonshine land river temporarily blind drink
63271,river lead reservoir drink town tap water temporarily blind
63272,moonshine water judge
63273,hmm hillbilly moonshine little witch right
63274,wait wait wait un form great mob think upset about construction route huh huh
63275,oh be mob buncha spineless weasel
63276,hey hey hey figure speech
63277,kill weasel hater
63278,sister lisa thank save
63279,thank rational nerdy life past week girl feel cool cool lisa simpson
63280,think interesting girl witch lisa life boy marry right homer homer
63281,hello everybody welcome wrapper huell howser apply art detection favorite confection open title sweeten deal
63282,see cookie crumble soda get pop let close look america favorite drop gumdrop
63283,gumdrop succulent substance call gelatin
63284,gelatin come skin bone hoof sick horse
63285,welcome second annual creative art emmy award
63286,outstanding lighting direction electronic multi camera variety music comedy programming way tie
63287,gee lisa look like tomorrow shovel foot global warming
63288,global warming cause weather extreme hot cold
63289,say warm make colder queen crazyland opposite la de da de da lisa simpson la de da de da
63290,uh huh right
63291,mush nerd mush
63292,oh look snow glisten tiny branch
63293,yeah yeah miracle try hear school closing
63294,follow school close springfield high school springfield middle school springfield el
63295,  excelente spanish language school
63296,  al center periodic table study
63297,springfield elementary scooo
63298,  ba diving academy
63299,course springfield elementary close mess bart simpson
63300,get springfield el bow macaroni factory
63301,skinner factory make kind pasta
63302,uh think uh specialization wave future uh probably
63303,smart way spend snowy day
63304,headshot headshot ooh right carrot headshot
63305,branch knock power line
63306,right watch dvd
63307,way run electricity
63308,believe pilgrim live
63309,maggie nightlight go onesie funsie announcer see diaper dapper
63310,wanna play guy
63311,fine minute lose attitude god sake suck pooch
63312,make debut catwalk bartholomew
63313,belt twizzler vest courtesy nelson tight hello kitty
63314,hello kitty think spid man head ew ew ew
63315,stupid shoe tight want play couple lame o girl
63316,envy maggie share deep bond sisterhood
63317,close good friend rest life know like will brother
63318,need brother badass loner like wolverine leave people beg leave
63319,  head say red queen pull tab
63320,need brother dream convince
63321,want turn want turn
63322,perfect spiral eli
63323,win super bowl compare chuckin ' ball brother
63324,easy winner pro try win high school basketball championship like
63325,kid calm berry blast
63326,boil cabbage boy turn hoecake ' round song sing boil cabbage
63327,love tom thank fight cbs fire
63328,oh uh fire dick
63329,fire yo yo master shoot moon cool
63330,look bart have perfectly nice dream brother ruin
63331,  boil boil boil boil boil dooo
63332,oh god want brother
63333,dad want baby brother
63334,son love kid go hospital time life be comin '
63335,lisa get sister boy
63336,girl easy girl love daddy girl birthday card glitter girl marry hockey player seat hockey game girl steal knife tell girl body work because know
63337,tell body work
63338,dad jerk want brother say
63339,maybe trick parent make baby way mom nearly trick charles barkley
63340,trick -PRON- like
63341,romantic dinner great idea
63342,oh god kill kenny
63343,kill kenny yesterday
63344,smell tarragon crust atlantic salmon
63345,bart cook course romantic dinner
63346,course lose romantic get dinner
63347,oh lovely evening
63348,hope save room passion fruit souffl cr anglais
63349,come time marriage come eat dessert love
63350,hey dvd parent
63351,homer simpson look snuggle fairy leave dvd player
63352,hm people country love time
63353,yawning monkey pair tong
63354,ooo look congress crow
63355,right right um ankle go
63356,uh huh hand neck
63357,mm hmm swivel till hear grind noise
63358,minor adjustment aaand
63359,want simpson busy hockin ' loogs
63360,nice loog wish hock
63361,look want baby brother parent
63362,thing simpson matter dead relationship parent eventually commit heinous act love
63363,year magical day prison insane asylum annual mixer
63364,get worry pill
63365,medicine doctor mom baby heaven
63366,need baby get young
63367,carpal nurple syndrome doctor say easy shove kid face drinking fountain
63368,bart handful interfere reproductive freedom
63369,want baby brother dad say uday need qusay want lisa maggie
63370,oh barty sorry father think kid perfect
63371,want help care
63372,remember hamster go care
63373,oh god hamster
63374,baby boy sister
63375,hey cook galley flight london virgin airline anymore
63376,right risk girl use birth control want body
63377,boy easy freckle
63378,year old adopt child
63379,oh think know orphan folk kid sad real life jaw bit dad wiener
63380,come awesome big brother get videogame treehouse garage stuff rafter illegal firework
63381,oh sweet meerschaum away
63382,sorry kid go to happen
63383,brother race car monopoly monopoly race car
63384,orphanage understand baby bear
63385,charlie escape island misfit boy
63386,shop fun stand
63387,like shinny like shinny year
63388,armed drummer prison rock band
63389,nice favorite beatle
63390,reason adopt foot hand
63391,people want adopt baby
63392,baby get overrate
63393,dad charlie new um good friend
63394,go to see lot house
63395,welcome charlie nice meet ya glass way keeper
63396,yo check brother charlie
63397,brother talkin ' come see
63398,uh bear nose hide away till afford cut
63399,deserve brother bart deserve good thing
63400,poke dead animal straight eye build
63401,son afraid water
63402,lisa like share bathroom brother
63403,brother bart kid
63404,cool cool orphan know like annie dude hate tomorrow
63405,jealous because get get maggie well dude ' tude
63406,go great notton candy
63407,awesome sequel sever movie go to great blood gore torture gut
63408,kid ticket diversity kitten
63409,  murder swear brain basement
63410,  bone saw lung face wear hat
63411,probably think sever rip sever actually base rich history hong kong torture film
63412,boogeyman go to eat brain
63413,sorry guess have little brother responsibility think especially because think responsibility
63414,boogie boogie boogie boogie boogie
63415,simpson step away orphan love repeat love
63416,mister policeman home
63417,mean boy take scary movie cover sister doll peanut butter bird seed
63418,snout beautiful snout
63419,arm like ham hammms
63420,ahead leave good
63421,go to hide
63422,place eskimo hide penguin
63423,charlie live find garbage banana string muffin liner cool because
63424,leave trail lose winter clothe
63425,go to turn
63426,go to convince turn
63427,huh go to eat
63428,snow god cotton candy
63429,well change mind quick bart snow plow come seal
63430,plow king live
63431,bart maybe charlie little brother big brother
63432,send bart good day life
63433,oh take long obvious decision
63434,worry charlie thing
63435,point shoot bro point shoot
63436,oh gross gross gross gross
63437,charlie go nice new family adopt wonderful sister
63438,cute let nail baby baby mom tell dad want ice cream princess princess get juice sweater big cheater cheater ugly
63439,sister save bart
63440,know miss boy let spend quality father son time
63441,fake fake know real
63442,oh come look guy look funny
63443,boil cabbage boy boil cabbage
63444,tom tom hey wait minute wait hold say tom hear tom
63445,oh think hear
63446,think hear think say
63447,oh think say
63448,hear sound like say naked bacon
63449,sound like say naked bacon
63450,somebody naked bacon
63451,yeah sound like naked bacon know dumb guy tom
63452,know say naked bacon
63453,definitely say tom
63454,say naked bacon
63455,tell agree folksinger naked bacon
63456,guy know funky town
63457,oh love go aquatic park bad ride amusement park fish aquarium parking ample
63458,oh photo op fill camera parking lot parking lot c sign tram license plate canada
63459,cheer dance octopus old man complain
63460,bird eat potato chip foot walk boy get sick tram grampa talk mermaid hedge park rule spanish fat baby grampa tell story trailer hitch oop erase
